S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
19,V. SADANANDA REDDY,People Protection Party,1734,3,1737,0.12,S2914
20,DHERAVATH GOPI NAIK,Jai Maha Bharath Party,1678,4,1682,0.12,S2914
21,PENTA RAMESH,Independent,1646,1,1647,0.12,S2914
22,RACHA SUBHADRA REDDY,Socialist Party (India),1444,21,1465,0.1,S2914
23,VARIKUPPALA. KRISHNA VADDERA,Independent,1361,5,1366,0.1,S2914
24,BASHABOINA LAKSHMAIAH,Independent,1319,1,1320,0.09,S2914
25,NUNE VENKAT SWAMY,Independent,919,4,923,0.07,S2914
26,NARRI. SWAMY KURUMA,Independent,897,1,898,0.06,S2914
27,JANGA. SUJATHANAVEEN REDDY,Independent,847,0,847,0.06,S2914
28,ERRA SURYAM,Viduthalai Chiruthaigal Katchi,777,1,778,0.06,S2914
29,"KONGARI, MALLAIAH",Independent,631,2,633,0.05,S2914
30,DR : MORIGADI KRISHNA,Independent,616,1,617,0.04,S2914
31,KANDE. RAMARAJU,Independent,577,2,579,0.04,S2914
32,KOTHOJU SRINIVASU,National Maha Sabha Party,567,2,569,0.04,S2914
33,AMIREDDY KIRAN REDDY,Independent,540,1,541,0.04,S2914
34,CHANDU NAYAK MEGAVATH,Independent,501,1,502,0.04,S2914
35,KADIRE KIRAN KUMAR,Bahujan Republican  Socialist Party,476,2,478,0.03,S2914
36,KARUNAKAR REDDY NALLA,Jai Bharat National Party,446,1,447,0.03,S2914
37,KANDADI. MANIPAL REDDY,Telangana Republican Party,432,1,433,0.03,S2914
38,UDARI MALLESH,Independent,404,2,406,0.03,S2914
39,ANIL KUMAR GADEPAKA,Independent,390,3,393,0.03,S2914
40,NOTA,None of the Above,4571,75,4646,0.33,S2914
1,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,S0119
2,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,S0119
3,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,S0119
4,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,S0119
5,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,S0119
6,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,S0119
7,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,S0119
8,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,S0119
9,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,S0119
10,P.CHOWDESWARI,Independent,1514,4,1518,0.11,S0119
11,VADLA KESAVAIAH,Independent,1488,6,1494,0.1,S0119
12,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,S0119
13,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,S0119
14,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,S0119
15,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,S0119
16,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,S0119
17,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,S0119
18,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,S0119
19,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04,S0119
20,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,S0119
21,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,S0119
22,NOTA,None of the Above,9014,185,9199,0.64,S0119
1,SANJAY SETH,Bharatiya Janata Party,658975,5757,664732,45.91,S278
2,YASHASWINI SAHAY,Indian National Congress,537646,6574,544220,37.59,S278
3,DEVENDRA NATH MAHTO,Independent,130526,2121,132647,9.16,S278
4,SOMA SINGH,Jai Maha Bharath Party,10340,1,10341,0.71,S278
5,NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793,10,7803,0.54,S278
6,DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784,15,6799,0.47,S278
7,SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6524,6,6530,0.45,S278
8,MANOJ KUMAR,Bahujan Samaj Party,6383,44,6427,0.44,S278
9,RAMHARI GOPE,Ambedkarite Party of India,6304,5,6309,0.44,S278
10,ANJANI PANDEY,Independent,5386,11,5397,0.37,S278
11,SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794,8,4802,0.33,S278
12,HARINATH SAHU,Lokhit Adhikar Party,4120,16,4136,0.29,S278
13,HEMNTI DEVI,Samata Party,4069,11,4080,0.28,S278
14,RANJANA GIRI,Republican Party of India (A),3206,2,3208,0.22,S278
15,BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130,25,3155,0.22,S278
16,DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072,22,3094,0.21,S278
17,PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870,74,2944,0.2,S278
18,PRABEEN CHANDRA MAHATO,Independent,2852,7,2859,0.2,S278
19,SANTOSH KUMAR JAISWAL,Independent,2782,5,2787,0.19,S278
20,PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756,7,2763,0.19,S278
21,MANORANJAN BHATTACHARYA,Independent,2537,2,2539,0.18,S278
22,AINUL ANSARI,Independent,2533,4,2537,0.18,S278
23,BINOD ORAON,Bahujan Mukti Party,2523,66,2589,0.18,S278
24,MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2151,13,2164,0.15,S278
25,KOLESHWAR MAHTO,Independent,1702,6,1708,0.12,S278
26,KAMESHWAR PRASAD SAW,Independent,1644,2,1646,0.11,S278
27,ARSHAD AYUB,Independent,1411,1,1412,0.1,S278
28,NOTA,None of the Above,8046,107,8153,0.56,S278
1,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,S249
2,KUNWAR DANISH ALI,Indian National Congress,447343,493,447836,40.32,S249
3,MUJAHID HUSAIN,Bahujan Samaj Party,163885,214,164099,14.77,S249
4,DHANISH,Independent,3615,2,3617,0.33,S249
5,SURESH,Independent,2716,1,2717,0.24,S249
6,JEETPAL RANA,Independent,2550,6,2556,0.23,S249
7,SUHEL HAIDER,Akhil Bhartiya Parivar Party,2492,12,2504,0.23,S249
8,NARENDRA SINGH,Independent,1776,3,1779,0.16,S249
9,NAEEMUDDIN,Independent,1002,2,1004,0.09,S249
10,KUSHAGRA,Independent,856,2,858,0.08,S249
11,KASHIF HUSAIN,Independent,677,2,679,0.06,S249
12,KUMDESH KUMAR,Independent,627,8,635,0.06,S249
13,NOTA,None of the Above,5886,14,5900,0.53,S249
1,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63,S262
2,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08,S262
3,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07,S262
4,ALBERT MING,Hamar Raj Party,10915,44,10959,0.75,S262
5,PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53,S262
6,RUPNARAYAN EKKA,Independent,7410,10,7420,0.51,S262
7,GOWARDHAN RATHIA,Independent,4591,2,4593,0.32,S262
8,POOJA SIDAR,Independent,4159,8,4167,0.29,S262
9,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21,S262
10,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18,S262
11,UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15,S262
12,ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13,S262
13,BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12,S262
14,NOTA,None of the Above,14993,29,15022,1.03,S262
1,KHALILUR RAHAMAN,All India Trinamool Congress,543449,978,544427,39.75,S259
2,MURTOJA HOSSAIN BOKUL,Indian National Congress,427105,685,427790,31.23,S259
3,DHANANJAY GHOSH,Bharatiya Janata Party,339868,946,340814,24.88,S259
4,REJAUL MONDAL,Independent,7500,0,7500,0.55,S259
5,SAJAHAN BISWAS,All India Secular Front,6847,11,6858,0.5,S259
6,MUKTIPADA KONAI,Independent,5670,1,5671,0.41,S259
7,ASHISH BHUIMALI,Independent,3949,2,3951,0.29,S259
8,MD SARWARUL ISLAM SARKAR,Bahujan Samaj Party,3511,4,3515,0.26,S259
9,MD SAHABUDDIN,Social Democratic Party Of India,3489,7,3496,0.26,S259
10,SAMIRUDDIN,Socialist Unity Centre Of India (COMMUNIST),1946,4,1950,0.14,S259
11,PARIMAL GHOSH,Independent,1928,3,1931,0.14,S259
12,SANUAR ALI,Bharatheeya Jawan Kisan Party,1698,2,1700,0.12,S259
13,RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrwadi Party,1527,5,1532,0.11,S259
14,MD ASADUL BISWAS,Independent,1340,0,1340,0.1,S259
15,NOTA,None of the Above,17135,23,17158,1.25,S259
1,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27,S1024
2,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190,1383,726573,41.46,S1024
3,GOVINDAIAH,Bahujan Samaj Party,4614,17,4631,0.26,S1024
4,SANTHOSH M,Uttama Prajaakeeya Party,3450,11,3461,0.2,S1024
5,UDAYA SHANKAR.G,Prahar Janshakti Party,2676,2,2678,0.15,S1024
6,LAKSHMI SRIHARI.J.N.,Independent,2091,3,2094,0.12,S1024
7,DILIP KUMAR I.S.,Independent,1896,7,1903,0.11,S1024
8,K.M.MAHADEVA,Independent,1716,4,1720,0.1,S1024
9,K.V.NANJUNDASWAMY,Independent,1363,2,1365,0.08,S1024
10,SHOBHA,Independent,1272,8,1280,0.07,S1024
11,Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072,5,1077,0.06,S1024
12,NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),972,5,977,0.06,S1024
13,H.R.NATARAJ,Independent,857,4,861,0.05,S1024
14,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,0,831,0.05,S1024
15,SHIVAKUMAR. B,Karnataka Rashtra Samithi,813,4,817,0.05,S1024
16,SUDHA.  V,Independent,650,7,657,0.04,S1024
17,KRISHNAIAH,Rashtriya Samaj Dal (R),556,3,559,0.03,S1024
18,HEBBAL VENKATESH.J,Republican Party of India (A),422,3,425,0.02,S1024
19,"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356,3,359,0.02,S1024
20,SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule),315,5,320,0.02,S1024
21,PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,0,313,0.02,S1024
22,NOTA,None of the Above,13499,55,13554,0.77,S1024
1,SALENG A SANGMA,Indian National Congress,382058,1861,383919,56.96,S152
2,AGATHA K SANGMA,National People's Party,227210,1468,228678,33.93,S152
3,ZENITH M SANGMA,All India Trinamool Congress,48518,191,48709,7.23,S152
4,LABENN CH MARAK,Independent,6846,64,6910,1.03,S152
5,NOTA,None of the Above,5809,31,5840,0.87,S152
1,SAJDA AHMED,All India Trinamool Congress,722586,2036,724622,52.1,S2526
2,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,504611,1338,505949,36.38,S2526
3,AZAHAR MOLLICK,Indian National Congress,78304,285,78589,5.65,S2526
4,MOFIKUL ISLAM,All India Secular Front,38971,20,38991,2.8,S2526
5,ARIT KARAK,Independent,7287,5,7292,0.52,S2526
6,AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,5445,6,5451,0.39,S2526
7,RAMESH KHANRA,Independent,5094,10,5104,0.37,S2526
8,BIMALESH KUMAR HELA,Bahujan Samaj Party,4867,8,4875,0.35,S2526
9,SK. SAPIYAR ALI,Independent,2924,0,2924,0.21,S2526
10,NIKHIL BERA,Socialist Unity Centre Of India (COMMUNIST),2095,12,2107,0.15,S2526
11,AMAL KUMAR BARMAN,Independent,1997,3,2000,0.14,S2526
12,RAMPRASAD GHORAI,Indian Unity Centre,1568,4,1572,0.11,S2526
13,NOTA,None of the Above,11263,55,11318,0.81,S2526
1,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,51.93,S1224
2,KANTILAL BHURIA,Indian National Congress,586904,1727,588631,38.41,S1224
3,ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,52525,234,52759,3.44,S1224
4,RAMCHANDRA SOLANKI,Bahujan Samaj Party,15159,13,15172,0.99,S1224
5,SURAJ BHABHAR,Independent,10060,2,10062,0.66,S1224
6,RANGLA KALESH,Independent,7331,4,7335,0.48,S1224
7,KASNA RANA PARGI,Independent,7311,5,7316,0.48,S1224
8,SUMITRA MEDA,Independent,6927,3,6930,0.45,S1224
9,RAMESHWAR SINGAR,Independent,4603,4,4607,0.3,S1224
10,MOHANSINGH NINGWAL,Bhartiya Samajik Party,4503,4,4507,0.29,S1224
11,SHEETAL BARELA,Akhand Bharat Samrajya Party,3929,1,3930,0.26,S1224
12,UDESINGH MACHAR,Republican Party of India (A),3795,1,3796,0.25,S1224
13,NOTA,None of the Above,31697,38,31735,2.07,S1224
1,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15,S298
2,DANAM NAGENDER,Indian National Congress,420220,2848,423068,40.38,S298
3,PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,12.37,S298
4,DR.  BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,0.22,S298
5,SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,0.16,S298
6,SAPAVAT SUMAN,Independent,996,0,996,0.1,S298
7,R.S.J. THOMAS,Jai Swaraj Party,971,3,974,0.09,S298
8,RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,0.08,S298
9,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,0.06,S298
10,MACHCHERLA VENKATA REDDY,Independent,672,1,673,0.06,S298
11,MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,0.06,S298
12,MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,0.05,S298
13,LUNAVATH HARI RAM,Independent,474,0,474,0.05,S298
14,BOGGULA SUNIITHHA,Independent,417,1,418,0.04,S298
15,MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,0.04,S298
16,MOHAMMED FASI UDDIN,Independent,341,1,342,0.03,S298
17,PULIMAMIDI VENKATESH GUPTA,Independent,340,0,340,0.03,S298
18,IBRAHIM KHAN,Independent,315,5,320,0.03,S298
19,ANDRAPU SUDARSHAN,Independent,312,3,315,0.03,S298
20,JUNAID ANAM SIDDIQUI,Independent,294,1,295,0.03,S298
21,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,0.03,S298
22,DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),280,1,281,0.03,S298
23,UTTAM PRAVEEN KUMAR,Independent,273,1,274,0.03,S298
24,GOWLIKAR SONY,Social Justice Party of India,269,3,272,0.03,S298
25,BATHULA RAVI,Independent,252,0,252,0.02,S298
26,P C LINGANNA,Independent,243,0,243,0.02,S298
27,MOHAMMED IBRAHIM AHMED,Independent,240,2,242,0.02,S298
28,SANGALA FLORY,Independent,223,0,223,0.02,S298
29,MOHAMMED ABDUL AZEEM,Independent,220,1,221,0.02,S298
30,GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,0.02,S298
31,V. K. VIJAYA LAKSHMI,Independent,213,3,216,0.02,S298
32,CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,0.02,S298
33,BOMMAKANTI SOWMYA,Pyramid Party of India,201,4,205,0.02,S298
34,KRUPAVARAM GANDU,Independent,159,2,161,0.02,S298
35,PAMPARI NARENDER,Independent,143,0,143,0.01,S298
36,SYED KHADER,Independent,132,1,133,0.01,S298
37,B . SUNITHA RANI,Socialist Party (India),130,3,133,0.01,S298
38,CHALIKA CHANDRA SEKHAR,Independent,129,0,129,0.01,S298
39,PAGIDIPALLI SHYAMSON,Viduthalai Chiruthaigal Katchi,126,4,130,0.01,S298
40,REDDYMALLA PARVATHI,Independent,126,1,127,0.01,S298
41,VELAMARTHI. RAVI KIRAN,Independent,123,1,124,0.01,S298
42,K. MURALI KRISHNA,Independent,120,0,120,0.01,S298
43,DEVENDAR KONNE,Independent,117,0,117,0.01,S298
44,KONDOJU MOHAN,Independent,113,1,114,0.01,S298
45,MD KHALEEL UZ ZAMA,Independent,110,1,111,0.01,S298
46,NOTA,None of the Above,5092,74,5166,0.49,S298
1,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,750323,4199,754522,54.15,S1347
2,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,597014,2544,599558,43.03,S1347
3,SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,3946,56,4002,0.29,S1347
4,MUSHTAK AJIJ MULLA,Independent,3822,2,3824,0.27,S1347
5,MADHURI RAJU JADHAV,Independent,3503,5,3508,0.25,S1347
6,KHADE BAJIRAO NANASO,Independent,3497,15,3512,0.25,S1347
7,KRUSHNABAI DIPAK CHOUGALE,Independent,3045,18,3063,0.22,S1347
8,KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,2952,23,2975,0.21,S1347
9,ADV. YASH SUHAS HEGDEPATIL,Independent,2457,2,2459,0.18,S1347
10,NAGNATH PUNDALIK BENAKE,Independent,1215,12,1227,0.09,S1347
11,RAJANDARA BALASO KOLI,Independent,1029,15,1044,0.07,S1347
12,B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,1011,96,1107,0.08,S1347
13,SUBHASH VAIJU DESAI,Independent,847,2,849,0.06,S1347
14,MANGESH JAYSINGH PATIL,Independent,647,6,653,0.05,S1347
15,SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,636,15,651,0.05,S1347
16,SANTOSH GANPATI BISURE,Apni Prajahit Party,635,4,639,0.05,S1347
17,DR. SUNIL NAMDEV PATIL,National Black Panther Party,626,7,633,0.05,S1347
18,KRUSHNA HANMANT DESAI,Independent,602,2,604,0.04,S1347
19,IRFAN ABUTALIB CHAND,Independent,595,2,597,0.04,S1347
20,MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,558,12,570,0.04,S1347
21,SANDEEP GUNDOPANT SANKPAL,Independent,541,3,544,0.04,S1347
22,KUDARTULLA ADAM LATIF,Independent,465,2,467,0.03,S1347
23,SALIM NURMUHAMAD BAGWAN,Independent,334,1,335,0.02,S1347
24,NOTA,None of the Above,5932,51,5983,0.43,S1347
1,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73,S047
2,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9,S047
3,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76,S047
4,RAM PRASAD RAUT,Independent,25993,17,26010,2.38,S047
5,GANGA PRASAD YADAV,Independent,18064,10,18074,1.65,S047
6,GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31,S047
7,RAJIV KUMAR JHA,Independent,12488,25,12513,1.14,S047
8,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07,S047
9,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99,S047
10,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,0.78,S047
11,NOTA,None of the Above,35846,82,35928,3.28,S047
1,BAIJAYANT PANDA,Bharatiya Janata Party,612916,2789,615705,48.21,S1815
2,ANSHUMAN MOHANTY,Biju Janata Dal,547681,1488,549169,43,S1815
3,SIDHARTH SWARUP DASH,Indian National Congress,94595,237,94832,7.43,S1815
4,SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (COMMUNIST),3393,2,3395,0.27,S1815
5,SEKHA SADIKA HOSEN,Bahujan Samaj Party,1845,7,1852,0.15,S1815
6,SUPRAVA DAS,Akhil Bhartiya Parivar Party,1559,2,1561,0.12,S1815
7,SRIRAM PANDEY,Independent,1397,2,1399,0.11,S1815
8,SANTOSH KUMAR PATRA,Independent,1370,3,1373,0.11,S1815
9,PRATAP CHANDRA MOHANTY,Independent,1088,7,1095,0.09,S1815
10,PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,910,2,912,0.07,S1815
11,NOTA,None of the Above,5807,8,5815,0.46,S1815
1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57,S251
2,NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,46.16,S251
3,NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,1.86,S251
4,PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,0.66,S251
5,HAREKRISHNA SARKAR,Independent,9462,5,9467,0.58,S251
6,KAMALESH BARMAN,Independent,2972,21,2993,0.18,S251
7,NABI BARMAN,Independent,2710,14,2724,0.17,S251
8,SUBODH BARMAN,Independent,2594,5,2599,0.16,S251
9,DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (COMMUNIST),2449,19,2468,0.15,S251
10,PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,0.13,S251
11,BIDHAN DAS,Independent,2067,5,2072,0.13,S251
12,KISHORE RAY,Independent,1588,18,1606,0.1,S251
13,PRADIP KUMAR ROY,Kamatapur People’s Party (United),1499,19,1518,0.09,S251
14,AMAL DAS,Independent,1488,7,1495,0.09,S251
15,NOTA,None of the Above,15510,53,15563,0.96,S251
1,KADIYAM KAVYA,Indian National Congress,575566,5728,581294,45.85,S2915
2,AROORI RAMESH,Bharatiya Janata Party,355875,5080,360955,28.47,S2915
3,Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,230820,1213,232033,18.3,S2915
4,AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,11103,12,11115,0.88,S2915
5,KALPANA PANJA,Bahujan Samaj Party,9230,97,9327,0.74,S2915
6,KONGARA ANIL KUMAR,Independent,6259,0,6259,0.49,S2915
7,ANIL KUMAR GADEPAKA,Independent,4482,4,4486,0.35,S2915
8,BUNGA JYOTHI RAMANA,Aihra National Party,4262,3,4265,0.34,S2915
9,MEKALA SUMAN,Dharma Samaj Party,3972,66,4038,0.32,S2915
10,AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,3625,9,3634,0.29,S2915
11,KOYYADA NARESH,Independent,3283,3,3286,0.26,S2915
12,PRAMEELA JANNU,Independent,3022,0,3022,0.24,S2915
13,BARIGELA SHIVA,Independent,2947,2,2949,0.23,S2915
14,S P K  SAGAR,Jai Maha Bharath Party,2769,4,2773,0.22,S2915
15,PASULA RAVI,Republican Party of India (Athawale),2220,19,2239,0.18,S2915
16,DEVARAJU PENDELA,Rashtriya Praja Congress  (Secular),2072,11,2083,0.16,S2915
17,POTHARAJU NARASIMHARAJU,Independent,1955,0,1955,0.15,S2915
18,BOLLAM VIJAY KUMAR,Independent,1821,4,1825,0.14,S2915
19,MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,1753,16,1769,0.14,S2915
20,ROOPA POLEPAKA,Independent,1657,2,1659,0.13,S2915
21,NARMADA PRAVEEN,Pyramid Party of India,1657,7,1664,0.13,S2915
22,DHAYAKAR GAJJI,Independent,1637,1,1638,0.13,S2915
23,POGULA ASHOK,Independent,1333,4,1337,0.11,S2915
24,THANDRA ESHWAR,Independent,1290,2,1292,0.1,S2915
25,MANDA NARESH,Independent,1044,7,1051,0.08,S2915
26,KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),1018,5,1023,0.08,S2915
27,PUTTA VINOD KUMAR,Independent,908,1,909,0.07,S2915
28,BOCHU RAJU,Independent,905,8,913,0.07,S2915
29,PAITHARA ACHYUTH,Independent,901,5,906,0.07,S2915
30,MANGALAPELLI ASHAIAH,Independent,847,0,847,0.07,S2915
31,GADDAM CHIRANJEEVI,Independent,825,1,826,0.07,S2915
32,MOTHKUPELLY PRABHAKAR,Independent,818,1,819,0.06,S2915
33,GANNARAPU RAVINDER,Independent,752,0,752,0.06,S2915
34,GANIPAKA PRADEEP,Independent,710,3,713,0.06,S2915
35,RAMESH BABU SHANIGARAPU,Independent,658,4,662,0.05,S2915
36,Dr GADAM MALLESH,Jai Bharat National Party,563,4,567,0.04,S2915
37,THALLAPALLY VENKATAIAH,Independent,538,0,538,0.04,S2915
38,BASHIPAKA SUDHAKAR,Independent,503,2,505,0.04,S2915
39,RK GANAPURAM,Independent,468,6,474,0.04,S2915
40,CHILUVERU PRATHAP,Independent,399,2,401,0.03,S2915
41,THATIKAYALA SATHISH BABU,Independent,382,2,384,0.03,S2915
42,CHILUMULLA SUJATHA,Independent,377,2,379,0.03,S2915
43,NOTA,None of the Above,8209,171,8380,0.66,S2915
1,KALI CHARAN SINGH,Bharatiya Janata Party,568912,5644,574556,52.89,S274
2,KRISHNA NAND TRIPATHI,Indian National Congress,348110,5487,353597,32.55,S274
3,AMIT KUMAR SINGH,Independent,31976,15,31991,2.94,S274
